task_type,duration_min,rows_processed,null_rate_pct,schema_changed,upstream_failed,rows_delta_pct,hour_of_day,day_of_week,retry_count,queue_time_min,failed
extract,27.2,6870,2.64,1,0,-6.0,14,4,0,0.4,0
quality_check,25.8,3312,1.35,0,0,14.3,14,3,0,0.7,0
dbt_model,21.7,316206,1.15,0,0,-5.4,1,1,0,1.2,0
dbt_model,38.3,1751383,1.88,0,0,-30.6,4,1,0,0.8,0
dbt_model,12.3,16963,0.35,0,0,-8.1,23,4,0,0.7,0
load,25.4,4391,0.5,0,0,-17.0,0,6,2,4.2,0
extract,28.2,1013,0.03,0,0,-23.3,12,5,0,0.1,0
quality_check,32.4,24573,1.57,0,0,21.2,18,5,2,1.5,0
dbt_model,27.7,21890,0.12,0,0,14.5,23,5,0,1.0,0
extract,29.7,12809,2.27,0,0,-17.4,5,0,0,8.0,0
dbt_model,25.8,51751,1.03,0,0,-22.8,14,6,1,4.2,0
load,33.4,68341,1.71,0,0,-1.8,18,4,0,2.2,0
quality_check,33.7,60896,0.67,0,0,-23.8,21,6,1,2.8,0
quality_check,23.3,21899,1.23,0,0,-4.4,15,6,0,2.1,1
quality_check,31.6,6231,0.0,0,0,1.3,5,0,1,11.0,0
quality_check,36.4,105380,0.06,0,1,5.5,21,6,0,1.6,1
dbt_model,30.8,37049,1.26,0,0,6.1,22,3,0,2.2,0
extract,56.5,150447,1.09,0,1,-14.1,8,2,0,3.5,0
load,33.2,128556,0.82,1,0,1.3,11,6,1,3.3,0
dbt_model,25.8,3733,2.7,0,0,23.0,15,4,0,6.1,0
dbt_model,24.5,3660,0.19,0,0,-37.7,19,4,0,4.7,0
dbt_model,21.4,10841,1.35,0,0,5.9,13,4,0,4.3,0
dbt_model,35.5,6700,0.71,0,0,-21.2,17,4,1,1.7,0
load,28.2,121589,1.57,0,0,25.3,18,5,1,6.5,0
quality_check,28.1,63709,0.87,0,0,14.7,4,2,0,1.0,0
dbt_model,30.5,210806,1.47,0,0,14.1,7,6,0,1.8,0
dbt_model,24.5,68485,0.63,0,1,-15.4,20,4,1,0.2,1
quality_check,17.1,50708,0.87,0,0,4.7,14,3,0,1.5,0
dbt_model,31.4,247599,1.37,0,0,6.8,4,3,2,1.0,0
dbt_model,41.4,77000,0.31,0,0,-42.7,12,0,1,4.7,0
dbt_model,34.2,40496,0.8,0,0,2.6,5,0,0,0.0,0
dbt_model,50.4,387986,2.15,0,0,11.0,1,5,0,2.5,1
extract,39.3,43664,0.93,0,0,-25.5,11,2,0,1.3,0
dbt_model,36.1,22315,0.09,0,1,10.8,0,6,2,1.5,0
load,46.9,9504,0.39,0,0,1.8,22,2,1,4.7,1
extract,33.3,111841,2.83,0,0,24.9,21,6,0,4.0,0
load,36.2,262834,0.41,0,0,-7.4,5,5,0,0.8,0
quality_check,32.0,33491,0.99,0,0,3.2,15,0,1,1.7,0
dbt_model,49.8,294391,1.42,0,0,6.1,9,2,0,1.6,0
dbt_model,26.8,1553,1.35,0,0,-50.5,14,6,0,6.3,0
extract,26.3,33232,1.55,0,0,-6.4,12,5,2,6.4,0
quality_check,37.4,34058,1.16,0,1,1.6,17,1,2,0.3,1
quality_check,22.9,11348,0.72,0,0,-42.4,18,1,0,0.8,0
dbt_model,43.7,1646525,0.03,0,0,12.1,0,6,0,0.0,0
extract,35.8,32666,0.87,0,0,1.5,20,3,2,0.5,1
load,29.4,18913,0.67,0,1,1.4,5,5,0,1.1,1
dbt_model,37.4,37855,0.59,0,0,13.0,15,3,1,4.5,0
load,13.3,1473,1.21,1,0,-7.4,15,0,0,5.5,0
quality_check,31.6,10766,0.3,0,0,0.8,15,3,1,1.2,0
quality_check,30.8,175112,0.21,0,0,15.6,17,0,2,0.2,0
quality_check,56.3,13275,0.72,0,0,1.0,3,6,0,1.4,0
dbt_model,31.3,9641,0.44,0,0,-33.2,15,1,0,1.3,0
dbt_model,30.5,295150,0.93,0,0,0.9,9,5,0,3.2,0
dbt_model,23.6,310024,0.89,0,0,1.2,9,1,0,3.8,0
dbt_model,45.4,83048,0.94,0,0,16.2,3,0,0,0.1,0
extract,27.8,17532,0.72,0,0,-6.2,14,0,1,0.1,0
dbt_model,24.5,24756,0.2,0,0,-17.6,7,0,0,8.0,0
extract,33.0,10030,1.77,0,0,-17.5,16,6,0,0.2,0
quality_check,35.3,7393,0.06,0,0,26.0,11,0,0,6.8,0
